Gene Ontology	Bacteria	Paper ID
immune system process	Staphylococcus aureus	29867970
leukocyte activation	Staphylococcus aureus	8080843
lymphocyte activation	Staphylococcus aureus	8080843
immune system process	Staphylococcus aureus	8080843
leukocyte activation	Staphylococcus aureus	28835358
lymphocyte activation	Staphylococcus aureus	28835358
immune system process	Staphylococcus aureus	28835358
leukocyte activation	Staphylococcus aureus	30483381
lymphocyte activation	Staphylococcus aureus	30483381
immune system process	Staphylococcus aureus	30483381
leukocyte activation	Staphylococcus aureus	27096389
lymphocyte activation	Staphylococcus aureus	27096389
immune system process	Staphylococcus aureus	27096389
leukocyte activation	Staphylococcus aureus	21450813
lymphocyte activation	Staphylococcus aureus	21450813
immune system process	Staphylococcus aureus	21450813
leukocyte activation	Staphylococcus aureus	12675126
lymphocyte activation	Staphylococcus aureus	12675126
immune system process	Staphylococcus aureus	12675126
leukocyte activation	Staphylococcus aureus	30904196
lymphocyte activation	Staphylococcus aureus	30904196
immune system process	Staphylococcus aureus	30904196
leukocyte activation	Staphylococcus aureus	2522907
lymphocyte activation	Staphylococcus aureus	2522907
immune system process	Staphylococcus aureus	2522907
leukocyte activation	Staphylococcus aureus	28742082
lymphocyte activation	Staphylococcus aureus	28742082
immune system process	Staphylococcus aureus	28742082
leukocyte activation	Staphylococcus aureus	29744138
lymphocyte activation	Staphylococcus aureus	29744138
immune system process	Staphylococcus aureus	29744138
leukocyte activation	Staphylococcus aureus	24205408
lymphocyte activation	Staphylococcus aureus	24205408
immune system process	Staphylococcus aureus	24205408
leukocyte activation	Staphylococcus aureus	28596706
lymphocyte activation	Staphylococcus aureus	28596706
immune system process	Staphylococcus aureus	28596706
leukocyte activation	Staphylococcus aureus	31676851
lymphocyte activation	Staphylococcus aureus	31676851
immune system process	Staphylococcus aureus	31676851
leukocyte activation	Staphylococcus aureus	30283440
lymphocyte activation	Staphylococcus aureus	30283440
immune system process	Staphylococcus aureus	30283440
leukocyte activation	Staphylococcus aureus	8786301
lymphocyte activation	Staphylococcus aureus	8786301
immune system process	Staphylococcus aureus	8786301
leukocyte activation	Staphylococcus aureus	25533660
lymphocyte activation	Staphylococcus aureus	25533660
immune system process	Staphylococcus aureus	25533660
leukocyte activation	Staphylococcus aureus	26767426
lymphocyte activation	Staphylococcus aureus	26767426
immune system process	Staphylococcus aureus	26767426
leukocyte activation	Staphylococcus aureus	9551921
lymphocyte activation	Staphylococcus aureus	9551921
immune system process	Staphylococcus aureus	9551921
leukocyte activation	Staphylococcus aureus	28935693
lymphocyte activation	Staphylococcus aureus	28935693
immune system process	Staphylococcus aureus	28935693
leukocyte activation	Staphylococcus aureus	14623057
lymphocyte activation	Staphylococcus aureus	14623057
immune system process	Staphylococcus aureus	14623057
leukocyte activation	Staphylococcus aureus	14702311
lymphocyte activation	Staphylococcus aureus	14702311
immune system process	Staphylococcus aureus	14702311
leukocyte activation	Staphylococcus aureus	30477498
lymphocyte activation	Staphylococcus aureus	30477498
immune system process	Staphylococcus aureus	30477498
leukocyte activation	Staphylococcus aureus	31293582
lymphocyte activation	Staphylococcus aureus	31293582
immune system process	Staphylococcus aureus	31293582
leukocyte activation	Staphylococcus aureus	27929051
lymphocyte activation	Staphylococcus aureus	27929051
immune system process	Staphylococcus aureus	27929051
leukocyte activation	Staphylococcus aureus	18832736
lymphocyte activation	Staphylococcus aureus	18832736
immune system process	Staphylococcus aureus	18832736
leukocyte activation	Staphylococcus aureus	26974206
lymphocyte activation	Staphylococcus aureus	26974206
immune system process	Staphylococcus aureus	26974206
leukocyte activation	Staphylococcus aureus	10601362
lymphocyte activation	Staphylococcus aureus	10601362
immune system process	Staphylococcus aureus	10601362
leukocyte activation	Staphylococcus aureus	11035070
lymphocyte activation	Staphylococcus aureus	11035070
immune system process	Staphylococcus aureus	11035070
leukocyte activation	Staphylococcus aureus	17275330
lymphocyte activation	Staphylococcus aureus	17275330
immune system process	Staphylococcus aureus	17275330
leukocyte activation	Staphylococcus aureus	28099212
lymphocyte activation	Staphylococcus aureus	28099212
immune system process	Staphylococcus aureus	28099212
leukocyte activation	Staphylococcus aureus	31484431
lymphocyte activation	Staphylococcus aureus	31484431
immune system process	Staphylococcus aureus	31484431
leukocyte activation	Staphylococcus aureus	23580891
lymphocyte activation	Staphylococcus aureus	23580891
immune system process	Staphylococcus aureus	23580891
leukocyte activation	Staphylococcus aureus	15489359
lymphocyte activation	Staphylococcus aureus	15489359
immune system process	Staphylococcus aureus	15489359
leukocyte activation	Staphylococcus aureus	28330478
lymphocyte activation	Staphylococcus aureus	28330478
immune system process	Staphylococcus aureus	28330478
leukocyte activation	Staphylococcus aureus	29505582
